Date,Asset1,Asset2,RiskFree
2019-01-01,103.3381,99.2036,100.9055
2019-02-01,103.4504,92.2711,100.4013
2019-03-01,107.7137,85.2848,100.8979
2019-04-01,117.1703,90.7286,102.2133
2019-05-01,116.7367,100.2643,101.9119
2019-06-01,116.3048,100.2602,101.8272
2019-07-01,126.8715,108.0956,102.0819
2019-08-01,132.8933,111.4227,102.0291
2019-09-01,130.8528,107.0368,101.4438
2019-10-01,135.531,110.3294,101.6817
2019-11-01,133.4904,123.4866,101.3456
2019-12-01,131.4654,123.7947,101.7892
2020-01-01,134.1343,138.8161,101.5252
2020-02-01,122.8762,116.1367,102.5199
2020-03-01,113.6282,123.631,102.3236
2020-04-01,111.3655,125.0101,102.3635
2020-05-01,106.7165,123.0344,102.9865
2020-06-01,109.2772,124.4479,102.5595
2020-07-01,105.2656,108.8268,102.8818
2020-08-01,98.8765,107.7033,103.7637
2020-09-01,107.2491,110.9831,103.1391
2020-10-01,106.8969,123.6965,103.4411
2020-11-01,108.12,119.8873,103.7829
2020-12-01,101.4945,113.8586,104.398
2021-01-01,99.5625,110.48,103.962
2021-02-01,100.9203,118.3815,103.4847
2021-03-01,96.0416,121.7445,103.9628
2021-04-01,98.6488,117.9006,104.3258
2021-05-01,96.4992,122.8262,104.6656
2021-06-01,95.8659,124.2836,105.057
2021-07-01,93.7718,133.6696,104.91
2021-08-01,103.6975,127.8973,105.2422
2021-09-01,104.4599,125.6237,105.6075
2021-10-01,99.8749,122.8352,105.4416
2021-11-01,104.904,111.4301,106.643
2021-12-01,99.4846,114.3342,107.1099
2022-01-01,101.3365,117.0264,106.687
2022-02-01,92.6161,117.6551,107.2521
2022-03-01,87.3614,116.319,106.9443
2022-04-01,88.9342,105.8751,107.581
2022-05-01,93.0205,103.3184,108.4226
2022-06-01,94.5745,101.3749,108.1948
2022-07-01,94.7845,96.319,108.9349
2022-08-01,94.1181,95.7151,109.3785
2022-09-01,88.1134,98.9544,110.0489
2022-10-01,85.6811,113.4875,111.32
2022-11-01,84.4028,115.4587,111.4061
2022-12-01,89.6987,118.1484,111.2092
2023-01-01,91.9861,118.1234,110.9373
2023-02-01,84.901,103.7948,110.7069
2023-03-01,86.981,104.1217,110.8858
2023-04-01,86.0076,105.0857,111.2975
2023-05-01,83.8131,125.4871,111.6747
2023-06-01,87.1101,124.4293,112.362
2023-07-01,92.4551,127.7208,112.5943
2023-08-01,97.64,128.0495,113.6426
2023-09-01,94.3797,118.5825,113.7196
2023-10-01,93.6782,129.1025,115.5076
2023-11-01,96.0077,136.762,116.1015
2023-12-01,101.6165,145.2729,115.8364
2024-01-01,100.0077,136.9967,115.4485
